ID,G,sigma2,num_samples,mean_naive_loss,median_naive_loss,std_naive_loss,mean_oracle_loss,median_oracle_loss,std_oracle_loss,median_cv_loss,mean_cv_loss,std_cv_loss,median_cv_excess_loss,mean_cv_excess_loss,std_cv_excess_loss,median_cv_displacement,mean_cv_displacement,std_cv_displacement,cv_Ms_star,cv_rhos_star
1774868862.072188,2-modal,0.005,500,0.009980688507277,0.0099918674040381,9.926792974867884e-05,0.0094502771847308,0.0094511652513831,9.139299128266196e-05,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.005,1057,0.009980688507277,0.0099918674040381,9.926792974867884e-05,0.0094502771847308,0.0094511652513831,9.139299128266196e-05,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.005,2236,0.009980688507277,0.0099918674040381,9.926792974867884e-05,0.0094502771847308,0.0094511652513831,9.139299128266196e-05,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.005,4729,0.009980688507277,0.0099918674040381,9.926792974867884e-05,0.0094502771847308,0.0094511652513831,9.139299128266196e-05,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.005,10000,0.009980688507277,0.0099918674040381,9.926792974867884e-05,0.0094502771847308,0.0094511652513831,9.139299128266196e-05,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.054,500,0.1058838803390539,0.1058695512649,0.0011270199115609,0.0635596017290533,0.063667954200982,0.0006350782474175,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.054,1057,0.1058838803390539,0.1058695512649,0.0011270199115609,0.0635596017290533,0.063667954200982,0.0006350782474175,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.054,2236,0.1058838803390539,0.1058695512649,0.0011270199115609,0.0635596017290533,0.063667954200982,0.0006350782474175,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.054,4729,0.1058838803390539,0.1058695512649,0.0011270199115609,0.0635596017290533,0.063667954200982,0.0006350782474175,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.054,10000,0.1058838803390539,0.1058695512649,0.0011270199115609,0.0635596017290533,0.063667954200982,0.0006350782474175,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.103,500,0.1989771577017744,0.1991506482605766,0.0016448603216212,0.0938663328341998,0.0938642378510805,0.0009466093580558,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.103,1057,0.1989771577017744,0.1991506482605766,0.0016448603216212,0.0938663328341998,0.0938642378510805,0.0009466093580558,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.103,2236,0.1989771577017744,0.1991506482605766,0.0016448603216212,0.0938663328341998,0.0938642378510805,0.0009466093580558,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.103,4729,0.1989771577017744,0.1991506482605766,0.0016448603216212,0.0938663328341998,0.0938642378510805,0.0009466093580558,,,,,,,,,,[],[]
1774868862.072188,2-modal,0.103,10000,0.1989771577017744,0.1991506482605766,0.0016448603216212,0.0938663328341998,0.0938642378510805,0.0009466093580558,,,,,,,,,,[],[]
